"","score","text"
"1",0,"RT @TheMeghanMarkIe: All flowers from our #RoyalWedding were donated to the patients of St. Joseph Hospice! https://t.co/leDOcyLpYu"
"2",0,"RT @1027KIISFM: #MeghanMarkle got her own #Royal Coat of Arms - can you spot the #California references? See what it all means! #RoyalFamil"
"3",0,"RT @darfernstan_: Ugh I love the quality content of the #RoyalWedding https://t.co/hP4zLEpBql"
"4",1,"RT @AngharadHatt: Bishop Michael Curry is starting a REVIVAL at this wedding 

#RoyalWedding https://t.co/ssNUsSHFey"
"5",-1,"RT @DionLimTV: My friend Chuck ordered a #RoyalWedding commemorative plate from Brazil and this is what arrived!  #fail https://t.co/1fG"
"6",0,"RT @LordSnow: The only #RoyalWedding  I care about. https://t.co/U5JwLGF65D"
"7",3,"RT @JustinWelby: Well it really was, to be honest, the good news of Jesus Christ - @PB_Curry https://t.co/0Xry26aMAc #RoyalWedding"
"8",1,"RT @RCT: This painting marks #QueenVictorias Golden Jubilee. She is in the Green Drawing Room at #WindsorCastle (the location of the Duke"
"9",0,"RT @RoyalFamily: The Duke and Duchess of Sussex were also photographed on the East Terrace, Windsor Castle. Their Royal Highnesses would li"
"10",3,"RT @adamlea2: Lets take a moment to honor this beautiful, strong woman; Meghan Markles Mother, Doria Ragland, who sat alone, a million mi"
"11",1,"RT @duchesssimmons: When Love is the Way! Preach Preacher! #RoyalWedding"
"12",0,"Its been over a week since the #RoyalWedding and I'm still not over it. Coping by watching @Suits_USA in its entire https://t.co/ZubJW9Jl58"
"13",0,"RT @UN_Women: #RoyalWedding is no longer trending, but the Duchess of Sussex's message will always be relevant. https://t.co/hfczpknSgD"
"14",0,"New post: Read an exclusive #excerpt of @AlyssaColeLits #ADukebyDefault just in time for the #royalwedding: https://t.co/TAMF22V239"
"15",0,"RT @newspornworld: #RoyalWedding please come and subscribe to my channel youtube 

 https://t.co/5HZydWusww https://t.co/mMCYl8gPqd"
"16",0,"#ArtDeco Diamond Ring Partial proceeds to #Charity #Wedding #Vintagejewelry @jennkodesign https://t.co/REZf1yh4b4 https://t.co/xgAy7kqA5A"
